ich,6145
die,3377
sie,3064
und,2394
ist,2227
der,1937
kann,1527
das,1482
mit,1425
zu,1403
was,1387
für,1312
in,1291
eine,1286
den,1254
du,1212
nicht,1190
meine,1190
wie,1183
es,1152
ein,1122
auf,1105
habe,1088
mein,1072
mir,1069
von,1041
bei,977
link,903
im,873
möchte,864
handy,849
können,826
1,786
vertrag,785
bitte,761
rechnung,744
oder,718
welche,714
einen,687
t-mobile,678
über,676
meinen,664
-,635
wenn,587
auch,567
_,551
dem,536
gerne,529
sind,524
mich,500
werden,497
um,482
an,477
haben,474
einem,466
noch,441
tarif,424
am,417
würde,394
warum,393
sich,391
wird,385
rufnummer,373
muss,363
per,358
aber,358
nach,352
ihnen,350
des,344
dass,331
dein,331
meinem,330
ihr,328
internet,326
will,324
2,320
einer,316
ausland,311
meiner,310
bin,310
mehr,308
wo,306
hallo,305
möglich,296
lassen,295
ihre,291
da,291
aus,290
zum,285
gibt,284
zur,282
sim,278
telefon,277
kannst,273
kosten,270
verlängern,260
bezahlen,257
begleichen,254
hat,252
keine,251
e-mail,249
iphone,246
nur,243
bis,242
fragen,238
finden,237
diese,232
tun,232
dann,227
tag,226
wir,226
name,225
aktuellen,225
nummer,223
so,219
gerät,218
kontostand,216
sms,216
unter,212
dictionary_entry,210
telefonrechnung,210
als,210
vor,210
kündigen,209
freieinheiten,206
wieder,204
telefonnummer,202
frage,201
guten,200
sein,199
geht,198
ob,194
brauche,192
alle,192
ihrer,192
informationen,191
wer,190
man,190
jetzt,189
geben,189
immer,188
wissen,186
erhalten,183
schon,180
potentielle_id,179
wurde,176
daten,175
ja,171
vom,162
i,161
tarife,161
ihrem,161
einfach,158
wann,157
konto,152
dir,152
beim,152
hab,150
vertragsverlängerung,149
roaming,149
hier,149
pin,149
service,147
freischalten,146
wollte,146
nutzen,145
betrag,144
direkt,144
neues,140
3,140
online,140
ändern,139
aufgaben,138
ab,137
monat,134
möglichkeit,134
funktioniert,132
machen,132
leider,132
war,130
viel,129
datennutzung,129
bzw,127
neue,126
hätte,126
seit,125
durch,124
hast,124
entsperren,122
sim-karte,122
meines,122
bekommen,122
dieser,121
netz,120
anderen,119
simkarte,119
euro,118
mobiltelefon,117
ihres,115
deine,114
lte,114
00,114
magst,112
zahlen,112
er,111
kein,111
karte,110
uns,109
gern,109
shop,109
ihren,109
kaufen,109
problem,109
andere,107
mobilfunkvertrag,107
heute,106
alles,106
damit,106
aktivieren,104
hilfe,103
bekomme,103
sagen,102
datenvolumen,102
net,102
kündigung,102
home,101
router,101
puk,101
5,101
kundenportal,101
diesen,101
wertkarte,101
dich,100
klax,100
probleme,98
helfen,97
guthaben,96
bereits,96
könnten,96
monatliche,96
abgebucht,95
sperren,95
finde,95
sprechen,94
selbst,93
eines,93
4,91
ins,91
sperre,91
mobile,91
the,91
einstellungen,88
anmelden,88
menschen,88
dort,88
sag,88
sehr,87
0,87
nun,87
mal,87
dazu,87
wechseln,86
s,86
monatlichen,86
bist,86
handys,85
suche,85
soll,84
senden,84
sollte,84
adresse,84
unseren,84
gerade,84
informieren,84
email,84
möchten,83
letzten,83
10,83
übernehmen,82
mail,82
weil,81
kostet,81
freiminuten,81
box,80
besten,79
ohne,79
sprachbox,79
bestellung,78
zurück,77
mms,77
gesperrt,77
dialog,76
geld,76
telefonieren,76
behandeln,76
rechnungen,76
also,76
möglichkeiten,75
unserer,75
wäre,75
zeit,74
kundenkennwort,73
buchen,73
wegen,72
kommt,72
hoch,72
business,72
anderer,71
sowie,71
falsche,71
erst,70
defekt,70
dies,70
gib,70
info,70
reparatur,69
lange,69
weitere,68
6,68
samsung,68
60,67
aktuelle,67
aufheben,67
surfen,66
natürlich,66
anmeldung,66
wlan,66
fehler,66
betreiber,65
liebsten,65
welches,64
wählen,64
nein,64
steht,63
erfolgt,63
anfragen,63
lautet,63
b,62
komme,62
kundenservice,62
viele,62
welchen,62
euch,61
verloren,61
kundenkonto,61
urlaub,61
dieses,61
daher,60
diesem,60
nehmen,60
dabei,60
tage,59
mbit,59
abrufen,59
welchem,59
telekom,59
verbindung,59
letzte,59
ganz,58
worden,58
portierung,58
denn,58
lösen,58
weiter,58
minuten,57
welcher,57
etwas,57
nennen,57
dafür,57
änderung,56
benötigen,56
nutzung,56
z,56
bieten,56
anrufe,56
unsere,55
smartphone,55
aktiv,55
fallen,55
monate,55
kundendienst,55
mitteilen,54
gestern,54
lock,54
zeitpunkt,54
mitarbeiter,54
hältst,53
müssen,53
sehen,53
rufumleitung,53
blackberry,52
zwar,52
einmal,52
woche,52
2016,52
paket,52
wochen,52
rufnummern,52
benötige,52
nächsten,52
wieviel,52
via,51
bestellen,51
grundgebühr,51
7,51
alten,51
bedeutet,50
post,50
automatisch,50
ende,50
beachten,50
anliegen,50
flamingos,50
auskunft,50
unserem,50
kontaktieren,50
verrechnet,50
könnte,50
passwort,49
gb,49
firma,49
verfügung,49
nichts,49
30,49
my,48
keinen,48
empfehlen,48
rechnungsbetrag,48
verbinde,48
e-mails,47
option,47
aktiviert,47
kunde,47
20,47
verbindungen,46
entfernen,46
